Genome Name,CheA
"Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean -  June 2009 P12 500m (Line P June 2009 P12 500m, March 2012 Assem)",17
Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNTR4_MetaG,991
"Clean room spacecraft assembly facility microbial communities from NASA Jet Propulsion Laboratory, California, USA - Floor swab, replicate B, treated with PMA (floor swab of Spacecraft Assembly Facility - replicate B, treated with PMA, ASSEMBLY_DATE=20140122)",1
"Freshwater microbial communities from Lake Mendota, WI - 13OCT2010 deep hole epilimnion (Lake Mendota Deep Hole Epilimnion 13Oct10, ASSEMBLY_DATE=20140128)",333
"Saline sediment microbial community from Etoliko Lagoon, Greece (re-annotation)",227
"Freshwater microbial communities from Lake Mendota, WI - 13SEP2009 deep hole epilimnion (Lake Mendota Deep Hole Epilimnion 13Sep09, ASSEMBLY_DATE=20140128)",700
Marine sediment microbial communities from the Atlantic coast under amendment with organic carbon and nitrate - tdAd47.2,5657
"Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet -  SI072_LV_10m_DNA (Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet -  SI072_LV_10m_DNA, ASSEMBLY_DATE=20141005)",668
Marine viral communities from the Subarctic Pacific Ocean - 26_WHOI_OMZ metaG,70
"Marine microbial communities from Yucatan Channel, Mexico - GS017",16
"Human stool microbial communities from NIH, USA - visit 1, subject 763901136",26
"Arabidopsis root microbial communities from the University of North Carolina, USA - plate scrape MF_Col_mLB",221
"Cyanobacterial communities from the Joint Genome Institute, California, USA - FECB-27",216
"Forest soil microbial communities from Davy Crockett National Forest, Groveton, Texas, USA - Texas A ecozone_OM1H0_O2 (Texas A ecozone_OM1H0_O2, ASSEMBLY_DATE=20130227)",6176
Estuarine microbial communities from the Columbia River estuary - metaG 1550A-3,460
Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_UKC071_MetaG,955
"Coal-degrading lab enrichment microbial communities from Bowden, Alberta, Canada- methanogenic culture: QSAFCN2 (QSAFCN2 454 assembly)",97
"Corn, switchgrass and miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - KBS Corn C5-2",14798
"Human buccal mucosa microbial communities from NIH, USA - visit 1, subject 159490532",1
"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample Angelo_147",1373
"Human stool microbial communities from NIH, USA - visit 2, subject 763536994",15
Aqueous microbial communities from the Delaware River and Bay under freshwater to marine salinity gradient to study organic matter cycling in a time-series - DEBay_Sum_0.19_D_<0.8_DNA,466
"Wetland microbial communities from Old Woman Creek Reserve in Ohio, USA - Open_0915_D1",8722
"Soil microbial communities from Rifle, Colorado - Rifle CSP2_plank highO2_0.2 (Rifle CSP2_plank highO2_0.2, ASSEMBLY_DATE=20140325)",3800
"Lotic sediment microbial communities from Taif River, Saudi Arabia - Lab simulation  Sediment ColumnT-1K3-0",9
"Macroalgal surface ecosystem from Botany Bay, Galicia, Spain - SR2-P2 (SR2-P2)",280
"Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA - NGEE PermafrostAB12-D",6029
"Forest soil microbial communities from Harvard Forest Long Term Ecological Research site in Petersham, Massachusetts, USA - MetaG HF045 (Microbial Forest Soil PH H8_O, ASSEMBLY_DATE=20130719)",3088
Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Hong Kong - AD_UKC105_MetaG,2578
"Human stool microbial communities from NIH, USA - visit 2, subject 763496533",32
"Freshwater microbial communities from Crystal Bog, Wisconsin, USA - MA2M",798
"Arctic peat soil from Barrow, Alaska - NGEE Surface sample 53-3 shallow-072012 (NGEE Surface sample 53-3 shallow-072012, ASSEMBLY_DATE=20130514)",1813
Serpentinite rock and fluid subsurface biosphere microbial communities - CSWold_Dec13 (Metagenome Metatranscriptome),14
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling",31961
Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metatranscriptome 34_HOW6,47
"Forest soil microbial communities from Davy Crockett National Forest, Groveton, Texas, USA - Texas A ecozone_OM1H0_O1 (Texas A ecozone_OM1H0_O1, ASSEMBLY_DATE=20130221)",4588
"Mouse cecum microbial communities from Vienna, Austria - Glucosamine amended microcosms incubated with D2O",284
"Forest soil microbial communities from El Dorado National Forest, California, USA - Mediterranean Blodgett CA OM2_M3 (Mediterranean Blodgett CA OM2_M3, July 2012 Assem)",3428
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G07A5-12 (Nitrogen cycling UWRJG07A512, ASSEMBLY_DATE=20140517)",1369
"Active sludge microbial communities from Klosterneuburg, Austria - Klosterneuburg WWTP active sludge MT KNB_T0_6R (Metagenome Metatranscriptome)",2
Soil microbial communities from sample at FACE Site Metagenome WIR_Elev2 (WIR_Elev2),245
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G08A3-12 (Nitrogen cycling UWRJ-G08A3-12, ASSEMBLY_DATE=20140525)",1961
"Agave microbial communities from California, USA -  Mg.Sf.e",1901
"Marine microbial communities from the West Antarctic Peninsula, for metatranscriptomic analysis - Coastal water metaG006-DNA",607
"Grasslands soil microbial communities from Chapel Hill, North Carolina, USA that are Nitrogen fertilized -NN352 (Forest Soil microbial communities with Nitrogen NN352, ASSEMBLY_DATE=20130213)",682
Estuarine microbial communities from the Columbia River estuary - metaG 1561A-02,283
"Active sludge microbial communities from Klosterneuburg, Austria - Klosterneuburg WWTP active sludge C25_HAv2",2
"Forest soil microbial communities from Algoma, Ontario, Canada - Jack Pine, Ontario site 1_JW_Ref_O3 (Jack Pine, Ontario site 1_JW_Ref_O3, ASSEMBLY_DATE=20130311)",3829
"Marine gutless worms symbiont microbial communities from Max Planck institute for Marine Microbiology, Germany - Olavius sp. 1 HERON ISLAND",3
"Forest soil microbial communities from Algoma, Ontario, Canada - Jack Pine, Ontario site 1_JW_OM3H0_M3 (Jack Pine, Ontario site 1_JW_OM3H0_M3, ASSEMBLY_DATE=20130219)",4033
"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample Angelo_114",1100
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G10A4-11 (Nitrogen cycling UWRJ-G10A4-11, ASSEMBLY_DATE=20130823)",2025
Marine microbial communities from the Southern Atlantic ocean transect to study dissolved organic matter and carbon cycling - KN S23 NT37 metaT (Metagenome Metatranscriptome),9
"Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA - NGEE Permafrost154B-one",2865
"Nasutitermes corniger hindgut microbial communities from Florida, USA - 2 (Metagenome and Metatranscriptome Co-assembly_Oct 2011)",69
Belize Diploria,26
Marine viral communities from the Global Malaspina Expedition - Malaspina viral metaG DeepMed_s2,272
"Wastewater treatment Type I Accumulibacter community from EBPR Bioreactor in Madison, WI, USA - TNR Reactor, Time C-32min-Anaerobic_ RNA (Metagenome Metatranscriptome)",250
"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling -  Inoculated plant M1 S AM (Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling -  Inoculated plant M1 S AM, ASSEMBLY_DATE=20140828)",2922
"Cellulose-adapted microbial communities from the Joint BioEnergy Institute, USA - Passage D2F10",65
Pelagic marine microbial communities from North Sea - COGITO_mtgs_110404,325
"Microcrystalline cellulose adapted microbial communities from mini bioreactor at UC Davis - Sample JP60#7 (Microcrystalline cellulose adapted consortia JP60#7, May 2012 Assem)",39
Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNHG3_MetaG,1354
"Forest soil microbial communities from Amazon forest - 2010 replicate II A001 (Amazon Forest 2010 replicate II A001, March 2012 Assem)",15198
"Saline lake microbial communities from Ace Lake, Antarctica - Antarctic Ace Lake Metagenome 02UK8",98
"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - 15_R_Wat_40_2_4_2 metaT (Metagenome Metatranscriptome)",4
"Serpentinite rock and fluid subsurface biosphere microbial communities - CR12Aug_QV11A (Subsurface biosphere CR12Aug_QV11A, ASSEMBLY_DATE=20130909)",110
"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample Angelo_151",2204
Estuarine microbial communities from the Columbia River estuary - Flood tide non-ETM metaG S.733,399
"Rice endophytes microbial communities from Berkeley, California, USA",17
Oceanic oxygen minimum zone microbial communities that regulate carbon cycling - Sample ETNP201306SV47,297
"Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - February 2009 P12 500m (Line P February 2009 P12 500m, March 2012 Assem)",6
"Arabidopsis root microbial communities from the University of North Carolina, USA - plate scrape CL_Col_mLB (Arabidopsis plate scrape CLColmLB, ASSEMBLY_DATE=20140520)",245
"Amended soil microbial communities from Kansas Great Prairies, USA - acetate Total DNA F2.4TB (Kansas native prairie amended with acetate Total DNA F2.4TB, Dec 2011 Assem)",7435
"Corn, switchgrass and miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - KBS K1-25-1 metaG",15537
"Wastewater effluent complex algal communities from Wisconsin, to seasonally profile nutrient transformation and Carbon sequestration - JI 9/18/14 A RNA (Eukaryote Community Metatranscriptome)",251
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G08K2-12 (Nitrogen cycling UWRJG08K212, ASSEMBLY_DATE=20140514)",1147
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G06A2a-12 (Nitrogen cycling UWRJG06A2a12, ASSEMBLY_DATE=20140514)",1691
Marine viral communities from the Subarctic Pacific Ocean - 1_ETSP_OMZ_AT15124 metaG,181
Acid mine drainage microbial communities from Los Rueldos abandoned mercury mine in Spain - Sample B2A,3
"Freshwater lake microbial communities from Lake Huron, USA, analyzing microbial food webs and carbon cycling - Su13.BD.MM110.SN (Laurentian Great Lakes metaG Su13.BD.MM110.SN, ASSEMBLY_DATE=20140905)",1004
"Human supragingival plaque microbial communities from NIH, USA - visit 1, subject 160643649",19
Aqueous microbial communities from the Delaware River and Bay under freshwater to marine salinity gradient to study organic matter cycling in a time-series - DEBay_Sum_22_D_<0.8_DNA,291
"Freshwater microbial communities from Trout Bog Lake, WI - 24JUN2008 epilimnion (Trout Bog Lake June 24 2008 Epilimnion, new10pct subsample IHTN Merged Reads)",84
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G05A1w-11 (Nitrogen cycling UWRJG05A1w11, ASSEMBLY_DATE=20140517)",1374
Oceanic oxygen minimum zone microbial communities that regulate carbon cycling - Sample ETNP201306PF47B,623
"Marine bacterioplankton communities from Palmer Station B, Arthur Harbor, Antarctica - Winter",2
"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP16-I3",9
"Ammonia-oxidizing marine microbial communities from Monterey Bay, California, USA - CAN11_18_M0_10 (AOA Metagenome CAN1118M010, ASSEMBLY_DATE=20140816)",723
"Aerobic enrichment media from Bioluminiscent Bay, La Parguera, Puerto Rico - Tt and P1 (2) (Tt ae P1 feedstock associated aerobic enrichment on pine from sediment taken from Thalassia testudinum beds off the Bioluminescent Bay near La Parguera, PR, ASSEMBLY_DATE=20121221)",465
"Human stool microbial communities from NIH, USA - visit 1, subject 764649650",11
"Tabebuia heterophylla rhizosphere microbial communities from the University of Puerto Rico -  S4T2R2 (Tabebuia heterophylla rhizosphere microbial communities from the University of Puerto Rico -  S4T2R2, ASSEMBLY_DATE=20140804)",20498
Planktonic microbial communities from North Pacific Subtropical Gyre,14
"Marine microbial and viral communities from Louisana Shelf, Gulf of Mexico - GoM_2015_C6C_177_2m (Metagenome Metatranscriptome)",2
"Freshwater microbial communities from Crystal Bog, Wisconsin, USA -  CBE02Aug09",381
"Pelagic Microbial community sample from North Sea - COGITO 998_met_02 (COGITO 998_met_02, ASSEMBLY_DATE=20130419)",1492
"Human tongue dorsum microbial communities from NIH, USA - visit 2, subject 159510762",25
"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample 10_02_2013_1_20cm (Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample 10_02_2013_1_20cm, ASSEMBLY_DATE=20140601)",11632
"Cutworm gut microbial communities from Hangzhou, China",3
"Grasslands soil microbial communities from Gorham, Kansas, USA that are Nitrogen fertilized - NN614 (Forest Soil microbial communities with Nitrogen NN614, ASSEMBLY_DATE=20130326)",166
"Delisea pulchra microbial communities from Sydney, Australia, affected by bleaching disease - 2012_LB_B1 (LBB12012)",387
"Human tongue dorsum microbial communities from NIH, USA - visit 1, subject 675950834",27
"Agave microbial communities from California, USA -  As.Sf.e",2255
"Lotic microbial communities from Mississippi River at two locations in the state of Minnesota, sample from River Site 7, Mississippi Headwaters (Site 7)",96
"Marine sediment microbial communities from Kolumbo Volcano mats, Greece - white/grey mat",1356
"Freshwater microbial communities from Trout Bog Lake, WI - 28JUN2007 epilimnion (Trout Bog Epilimnion - Bur_E_0031_40)",1
"Hot spring microbial communities from One Hundred Springs Plain, Yellowstone National Park, Wyoming, USA - YNP14 OSP Spring",7
"Subaerial biofilm microbial communities from sulfidic caves, Italy, that are extremely acidic - Acquasanta AS5 (AS5 metagenome (Draft assembly w/ Newbler v. 2.6, contigs > 300 bp))",7
"Corn, switchgrass and miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - KBS C2-3 metaG",17683
"Human buccal mucosa microbial communities from NIH, USA - visit 2, subject 159490532",1
"Groundwater microbial communities from the Columbia River, Washington, USA, for microbe roles in carbon and contaminant biogeochemistry - GW-RW metaG T2_30-Apr-14",2524
"Human stool microbial communities from NIH, USA - visit 1, subject 764508039",3
"Saline lake microbial communities from Ace Lake, Antarctica - Antarctic Ace Lake Metagenome 02UKA",179
"Sediment microbial communities from Lake Washington, Seattle, for Methane and Nitrogen Cycles, original sample replicate 1 (Original sample replicate 1)",398
"Freshwater microbial communities from Trout Bog Lake, WI - Practice 03JUN2009 epilimnion (Trout Bog Practice 03JUN2009 epilimnion June 2011 assem)",18
"Termite gut P3 segment microbial communities from Max Planck Institute, Germany - Co191 P3 (Termite gut Co191 P3, ASSEMBLY_DATE=20140216)",8974
"Freshwater microbial communities from Lake Mendota, WI - 05MAY2010 deep hole epilimnion (Lake Mendota Deep Hole Epilimnion 05May10, ASSEMBLY_DATE=20130319)",129
"Active sludge microbial communities from Klosterneuburg, Austria - Klosterneuburg WWTP active sludge MT KNB_T0_3 (Metagenome Metatranscriptome)",69
"Human tongue dorsum microbial communities from NIH, USA - visit 2, subject 160158126",25
Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 14_LOW5,691
"Soil microbial communities from Great Prairies - Wisconsin, Switchgrass soil (Wisconsin Switchgrass soil, Feb. 2013 Assem JGI Velvet)",1403
"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - 15_R_Met_40_5_4_2 metaT (Metagenome Metatranscriptome)",11
"Human supragingival plaque microbial communities from NIH, USA - visit 2, subject 159369152",18
Deep ocean microbial communities from the Global Malaspina Expedition - Deep seawater metaT MP138 (Metagenome Metatranscriptome),52
"Soil microbial communities from Manhattan, Kansas, USA - Sample 300um emPCR (Kansas soil 300um emPCR, ASSEMBLY_DATE=20131206)",10
"Groundwater microbial communities from the Columbia River, Washington, USA - GW-RW S3_30_40",361
Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 3_LOW4,1030
"Active sludge microbial communities from Klosterneuburg, Austria - Klosterneuburg WWTP active sludge MT KNB_D6R_HD (Metagenome Metatranscriptome)",12
"Freshwater microbial communities from Lake Mendota, WI - Practice 29OCT2010 epilimnion (Lake Mendota Practice 29OCT2010 epilimnion,new10pct subsampleHZIA MergedReads)",141
Marine planktonic communities from Hawaii Ocean Times Series Station (HOT/ALOHA) - 7_Deep_abyss_4000m,1
"Avena fatua rhizosphere microbial communities - H4_Bulk_Litter_24 (Metagenome Metatranscriptome, Counting Only)",7
Coral microbial communities from various places in Mexico - Siderastrea C C metatranscriptome (Eukaryote Community Metatranscriptome),2
"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site A1 Bulk (Wetland Surface Sediment Feb2011 Site A1 Bulk-1% Merged Rds,0.27kb Insert)",156
"Coassembly of ECP03_0M1, ECP03_OM2, ECP03_OM3, ECP04_OM1, ECP04_OM2, ECP04_OM3, ECP14_OM1, ECP14_OM2, ECP14_OM3",39305
"Active sludge microbial communities from Klosterneuburg, Austria - Klosterneuburg WWTP active sludge C14_HNv2",2
Aqueous microbial communities from the Delaware River and Bay under freshwater to marine salinity gradient to study organic matter cycling in a time-series - Viral MetaG DEL_Nov_24,259
"Anoxygenic and chlorotrophic microbial mat microbial communities from Yellowstone National Park, USA - YNP MS_1800_B MetaT (Metagenome Metatranscriptome)",52
"Aerobic enrichment media from Eden Landing Ponds, California, USA - A23 M2 (A23 M2 feedstock associated aerobic enrichment on miscanthus of planktonic cells taken from a salt flat in the South Bay, CA, ASSEMBLY_DATE=20121221)",471
"Macroalgal surface ecosystem from Botany Bay, Sydney, Australia - BBAY75 (BBAY75)",334
"Populus root and rhizosphere microbial communities from Tennessee, USA - Endosphere MetaG P. deltoides DD176-3",6889
"Marine microbial communities from the Deep Atlantic Ocean -  MMD3.0 (Deep seawater metagenome MMD3.0, ASSEMBLY_DATE=20130213)",104
"Soil and rhizosphere microbial communities from Centre INRS-Institut Armand-Frappier, Laval, Canada - Soil microcosm metaTmtHAB (Metagenome Metatranscriptome)",612
Marine viral communities from the Subarctic Pacific Ocean - 10_ETSP_OMZ_AT15264 metaG,224
"Peat soil microbial communities from Weissenstadt, Germany - Metatranscriptome 12 (Metagenome Metatranscriptome)",110
"Peat soil microbial communities from Weissenstadt, Germany - Sb_50d_7_NC metaG",1917
"Nasutitermes corniger hindgut microbial communities from Florida, USA (Newbler assembly)",95
Estuarine microbial communities from the Columbia River estuary - metaG 1547B-3,411
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G07A2-10 (Nitrogen cycling UWRJG07A210, ASSEMBLY_DATE=20140518)",2015
"Peat soil microbial communities from Weissenstadt, Germany - Metatranscriptome 65 (Metagenome Metatranscriptome, Counting Only)",2
"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP12-I5",3
"Populus root and rhizosphere microbial communities from Tennessee, USA - Soil MetaG P. deltoides SBSDD5",8533
"Wetland sediment microbial communities from St. Louis River estuary, Michigan, under dissolved organic matter induced mercury methylation - T0Bare2Fresh",11304
"Freshwater microbial communities from Crystal Bog, Wisconsin, USA -  CBE21Jun07",417
"Active sludge microbial communities from Klosterneuburg, Austria - Klosterneuburg WWTP active sludge C24_HANv2",6
"Marine microbial communities from Delaware Coast, sample from Delaware MO Winter December 2010 (Delaware MO Winter December 2010, Nov 2011 assem)",57
"Freshwater microbial communities from Lake Simoncouche, Canada to study carbon cycling - S_130626_EF_MetaG",661
Estuarine microbial communities from the Columbia River estuary - metaG 1557A-3,538
"Soil microbial communities from California, USA to study soil gas exchange rates - JR-CA-SND metaT (Metagenome Metatranscriptome)",22
"Peat soil microbial communities from Weissenstadt, Germany - Metatranscriptome 45 (Metagenome Metatranscriptome)",131
"Hypersaline microbial communities from Antarctic Deep Lake, sample 24m 3.0um (24 m 3.0 um Sept 2010 combined)",44
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G08A2-11 (Nitrogen cycling UWRJG08A211, ASSEMBLY_DATE=20140514)",1388
Deep ocean microbial communities from the Global Malaspina Expedition - Deep seawater metaT MP957 (Metagenome Metatranscriptome),37
"Marine microbial communities from the Deep Pacific Ocean - MP1788 (Deep seawater metagenome MP1788, ASSEMBLY_DATE=20130626)",681
"Oil polluted marine microbial communities from Coal Oil Point, Santa Barbara, California, USA -  Sample 2 (Crude oil metagenome 2, ASSEMBLY_DATE=20130727)",7355
"Anoxygenic and chlorotrophic microbial mat microbial communities from Yellowstone National Park, USA - YNP MS_0900_T MetaT (Metagenome Metatranscriptome)",63
"Groundwater microbial communities from subsurface biofilms in sulfidic aquifier in Frasassi Gorge, Italy, sample from two redox zones- LI09_4 (Targeted Biofilm samples from two redox zones-LI09_4, Oct 2011 Assem)",9481
"Peat soil microbial communities from Weissenstadt, Germany - Metatranscriptome 58 (Metagenome Metatranscriptome)",116
"Soil microbial communities from Illinois, USA to study soil gas exchange rates - BV-IL-AGR metaT (Metagenome Metatranscriptome)",6
"Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Organic soil replicate RNA 2013_057 (Metagenome Metatranscriptome)",496
"Biogas reactor microbial communities from SLU, Alnarp, Sweden - PacBio 99 accuracy",53
"Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet -  ESP_59LU_5_DNA (Saanich Inlet ESP59LU5DNA, ASSEMBLY_DATE=20140815)",2760
"Peatland microbial communities from Minnesota, USA, analyzing carbon cycling and trace gas fluxes - June2015DPH_19_40",1669
"Serpentine soil microbial communities from UC McLaughlin Reserve, CA, USA - Plot60",4678
"Freshwater microbial communities from Lake Mendota, WI - 27JUL2010 deep hole epilimnion ns (Lake Mendota Deep Hole Epilimnion 27Jul10 ns, ASSEMBLY_DATE=20140125)",360
"Estuarine microbial mat communities from Elkhorn Slough, California, USA - CR1B Metatranscriptome (Metagenome Metatranscriptome)",2
"Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - ample_F_10_SI03_120 (Line P sample_F_10_SI03_120, March 2012 Assem)",28
"Marine microbial communities from the Deep Pacific Ocean - MP1649 (Deep seawater metagenome MP1649, ASSEMBLY_DATE=20130626)",671
"Human supragingival plaque microbial communities from NIH, USA - visit 2, subject 763759525",23
Oceanic oxygen minimum zone microbial communities that regulate carbon cycling - Sample ETNP201406SV73,417
"Aerobic enrichment media from Bioluminiscent Bay, La Parguera, Puerto Rico - Tt and E1 (Tt ae E1  aerobic enrichment on eucalyptus from sediment taken from Thalassia testudinum beds off the Bioluminescent Bay near La Parguera, PR, ASSEMBLY_DATE=20130115)",213
"Peat soil microbial communities from Weissenstadt, Germany - Metatranscriptome 27 (Metagenome Metatranscriptome)",7
Freshwater microbial communities from Lake Sakinaw in Canada: eDNA_2 (120m) (120 m),46
"Hypersaline microbial mat communities from Hot Lake, Washington, USA - Section #5 (Hot Lake mat section #5, ASSEMBLY_DATE=20130115)",36
"Freshwater microbial communities from Crystal Bog, Wisconsin, USA -  CBH22May08",747
"Hydrothermal vent plume microbial communities from the Guaymas Basin, Gulf of California - transcript assembly",10
"Forest soil microbial communities from Harvard Forest Long Term Ecological Research site in Petersham, Massachusetts, USA - MetaT HF212 (Metagenome Metatranscriptome)",82
Pelagic marine microbial communities from North Sea - COGITO_mtgs_110407,311
"Human tongue dorsum microbial communities from NIH, USA - visit 1, subject 764305738",20
"Human supragingival plaque microbial communities from NIH, USA - visit 2, subject 764224817",5
"Freshwater microbial communities from Lake Simoncouche, Canada to study carbon cycling - S_140806_EF_MetaG",1504
"Marine microbial communities from the Deep Pacific Ocean - MP2159 (Deep seawater metagenome MP2159, ASSEMBLY_DATE=20130220)",194
"Subsurface microbial communities from deep shales in Ohio, USA - Shriver well 1B S-1-Day59",5594
"Grasslands soil microbial communities from Kansas, USA, that are Nitrogen fertilized - NN588 (Forest Soil microbial communities with Nitrogen NN588, ASSEMBLY_DATE=20130213)",510
"Delisea pulchra microbial communities from Sydney, Australia, affected by bleaching disease - 2012_BI_B1 (BIB12012)",358
"Geothermal fumarole subsurface microbial communities from Mt. Erebus, Antarctica - 1A2E (Antarctic geothermal fumaroles 1A2E, ASSEMBLY_DATE=20140312)",10
"Human tongue dorsum microbial communities from NIH, USA - visit 1, subject 764143897",23
"Groundwater microbial communities from the Columbia River, Washington, USA - GW-RW N2_50_60",1144
Marine viral communities from the Southern Atlantic ocean transect to study dissolved organic matter and carbon cycling - metaG 3750_2500,24
"Marine microbial communities from the Deep Indian Ocean - MP1201 (Deep seawater metagenome MP1201, ASSEMBLY_DATE=20130213)",371
"Forest soil microbial communities from Browns Valley, California, USA, that are Nitrogen fertilized - NN91 (Forest Soil microbial communities with Nitrogen NN91, ASSEMBLY_DATE=20130603)",1636
"Anoxygenic and chlorotrophic microbial mat microbial communities from Yellowstone National Park, USA - YNP NP_1300 MetaT (Metagenome Metatranscriptome)",98
"Forest soil microbial communities from Harvard Forest Long Term Ecological Research site in Petersham, Massachusetts, USA - MetaG HF025 (Microbial Forest Soil BW H19_O, ASSEMBLY_DATE=20130725)",1487
"Freshwater microbial communities from Trout Bog Lake, WI - 09SEP2008 hypolimnion (Trout Bog Lake Sept 9 2008 Hypolimnion, new10pct subsample IHXX Merged Reads)",145
"Freshwater microbial communities from Crystal Bog, Wisconsin, USA -  CBH15Jun09",457
